Product ID,Product Name,Current Price,Original Price,Discount,Stock Status,Sizes,URL,Event Type,Timestamp,Image,Category,Variants
R04346871,GOLDBERGH Parry hooded straight-leg stretch-woven blend ski trousers,95.0,819.0,88.4,In Stock,See product page,https://www.selfridges.com/GB/en/product/goldbergh-parry-hooded-straight-leg-stretch-woven-blend-ski-trousers_R04346871/#colour=9000 Black,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04346871_9000BLACK_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04483037,RO&ZO Broderie-Hem Halterneck Sleeveless Cotton Midi Dress,29.0,119.0,75.6,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-broderie-hem-halterneck-sleeveless-cotton-midi-dress_R04483037/#colour=PINK,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04483037_PINK_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04483066,RO&ZO Annie Garden-Floral Bow-Embellished Cotton Maxi Dress,59.0,239.0,75.3,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-annie-garden-floral-bow-embellished-cotton-maxi-dress_R04483066/#colour=MULTI,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04483066_MULTI_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04416619,JACQUEMUS Salon Flared Cotton-Poplin Midi Skirt,200.0,750.0,73.3,In Stock,See product page,https://www.selfridges.com/GB/en/product/jacquemus-salon-flared-cotton-poplin-midi-skirt_R04416619/#colour=WHITE,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04416619_WHITE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04468714,RO&ZO Celeste Polka Dot-Pattern Woven Maxi Dress,49.0,179.0,72.6,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-celeste-polka-dot-pattern-woven-maxi-dress_R04468714/#colour=MONO,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04468714_MONO_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04452682,RO&ZO V-Neck Puff-Sleeve Striped Cotton Top,19.0,69.0,72.5,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-v-neck-puff-sleeve-striped-cotton-top_R04452682/#colour=Blue,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04452682_BLUE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04435070,RO&ZO Multi Butterfly-Print Button-Through Crepe Midi Dress,39.0,139.0,71.9,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-multi-butterfly-print-button-through-crepe-midi-dress_R04435070/#colour=PURPLE,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04435070_PURPLE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04436316,REPRESENT Owners Club V-Neck Woven Top,20.0,70.0,71.4,In Stock,See product page,https://www.selfridges.com/GB/en/product/represent-owners-club-v-neck-woven-top_R04436316/#colour=GREY,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04436316_GREY_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04435055,RO&ZO Alba Bardot Puff-Sleeve Woven Maxi Dress,69.0,239.0,71.1,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-alba-bardot-puff-sleeve-woven-maxi-dress_R04435055/#colour=Blue,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04435055_BLUE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04443425,RO&ZO Stitch-Embroidered Padded Cotton Jacket,29.0,99.0,70.7,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-stitch-embroidered-padded-cotton-jacket_R04443425/#colour=Navy Padded Jacket,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04443425_NAVYPADDEDJACKET_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04468719,RO&ZO Claudia Leaf-Print Cotton Maxi Dress,59.0,199.0,70.4,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-claudia-leaf-print-cotton-maxi-dress_R04468719/#colour=MULTI,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04468719_MULTI_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04306113,THE WHITE COMPAN YRound-neck stretch-velvet mini T-shirt dress,29.4,98.0,70.0,Out of Stock,See product page,https://www.selfridges.com/GB/en/product/the-white-company-round-neck-stretch-velvet-mini-t-shirt-dress_R04306113/#colour=SMOKE,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04306113_SMOKE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04435058,RO&ZO Long-Sleeve Button-Up Denim Jumpsuit,39.0,129.0,69.8,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-long-sleeve-button-up-denim-jumpsuit_R04435058/#colour=Blue,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04435058_BLUE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04435389,SWEATY BETTY Gaia V-Neck Stretch-Woven T-Shirt,17.0,55.0,69.1,In Stock,See product page,https://www.selfridges.com/GB/en/product/sweaty-betty-gaia-v-neck-stretch-woven-t-shirt_R04435389/#colour=NAVY BLUE,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04435389_NAVYBLUE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04435073,RO&ZO Gigi Off-The-Shoulder Stretch-Woven Maxi Dress,59.0,189.0,68.8,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-gigi-off-the-shoulder-stretch-woven-maxi-dress_R04435073/#colour=PINK,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04435073_PINK_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04468687,RO&ZO Embroidered-Panel Elasticated-Waist Stretch-Cotton Maxi Skirt,29.0,89.0,67.4,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-embroidered-panel-elasticated-waist-stretch-cotton-maxi-skirt_R04468687/#colour=BLACK,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04468687_BLACK_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04483040,RO&ZO Shirred-Waist Halterneck Sleeveless Cotton Jumpsuit,29.0,89.0,67.4,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-shirred-waist-halterneck-sleeveless-cotton-jumpsuit_R04483040/#colour=GREEN,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04483040_GREEN_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04483046,RO&ZO Square-Neck Puff-Sleeve Broderie Cotton Top,29.0,89.0,67.4,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-square-neck-puff-sleeve-broderie-cotton-top_R04483046/#colour=RED,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04483046_RED_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04236886,AMY LYNN Straight-neck metallic velvet midi dress,39.0,119.0,67.2,In Stock,See product page,https://www.selfridges.com/GB/en/product/amy-lynn-straight-neck-metallic-velvet-midi-dress_R04236886/#colour=BLACK/GOLD,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04236886_BLACKGOLD_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04443431,RO&ZO Abstract-Pattern Round-Neck Woven Midi Dress,39.0,119.0,67.2,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-abstract-pattern-round-neck-woven-midi-dress_R04443431/#colour=Irregular Spot Dress,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04443431_IRREGULARSPOTDRESS_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04452681,RO&ZO Ditsy-Print Puff-Sleeve Woven Midi Dress,39.0,119.0,67.2,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-ditsy-print-puff-sleeve-woven-midi-dress_R04452681/#colour=Blue,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04452681_BLUE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04483045,RO&ZO Tie-Waist Broderie-Pattern Cotton Mini Dress,39.0,119.0,67.2,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-tie-waist-broderie-pattern-cotton-mini-dress_R04483045/#colour=IVORY,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04483045_IVORY_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04330162,THE COUTURE CLUB Varsity logo-embroidered cotton-blend sweatshirt,20.0,60.0,66.7,In Stock,See product page,https://www.selfridges.com/GB/en/product/the-couture-club-varsity-logo-embroidered-cotton-blend-sweatshirt_R04330162/#colour=GREY MARL,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04401191_BEIGE_M?dpr=on%2C2,Women's Clothing Test,None
R04330162,THE COUTURE CLUB Varsity logo-embroidered cotton-blend sweatshirt,20.0,60.0,66.7,In Stock,See product page,https://www.selfridges.com/GB/en/product/the-couture-club-varsity-logo-embroidered-cotton-blend-sweatshirt_R04330162/#colour=BLACK,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04401191_BEIGE_M?dpr=on%2C2,Women's Clothing Test,None
R04330162,THE COUTURE CLUB Varsity logo-embroidered cotton-blend sweatshirt,20.0,60.0,66.7,In Stock,See product page,https://www.selfridges.com/GB/en/product/the-couture-club-varsity-logo-embroidered-cotton-blend-sweatshirt_R04330162/#colour=STONE,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04401191_BEIGE_M?dpr=on%2C2,Women's Clothing Test,None
R04449724,AMY LYNN Bodie Flared Stretch-Woven Trousers,20.65,59.0,65.0,In Stock,See product page,https://www.selfridges.com/GB/en/product/amy-lynn-bodie-flared-stretch-woven-trousers_R04449724/#colour=RED,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04449724_RED_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04435246,SWEATY BETTY Power 7/8 Gym Leggings,31.0,88.0,64.8,In Stock,See product page,https://www.selfridges.com/GB/en/product/sweaty-betty-power-78-gym-leggings_R04435246/#colour=GrnTerrain CamoPrint,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04435246_GRNTERRAINCAMOPRINT_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04435273,SWEATY BETTY Power Graphic-Print High-Rise Stretch-Jersey Leggings,31.0,88.0,64.8,In Stock,See product page,https://www.selfridges.com/GB/en/product/sweaty-betty-power-graphic-print-high-rise-stretch-jersey-leggings_R04435273/#colour=GrnTerrain CamPrint,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04435273_GRNTERRAINCAMPRINT_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04367805,WHISTLES Twist-front crinkled-texture woven top,29.0,79.0,63.3,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-twist-front-crinkled-texture-woven-top_R04367805/#colour=BLUE,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04367805_BLUE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04435044,RO&ZO Shirred-Cuff Lace Cotton Blouse,29.0,79.0,63.3,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-shirred-cuff-lace-cotton-blouse_R04435044/#colour=WHITE,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04435044_WHITE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04468700,RO&ZO Halterneck Wide-Leg Stretch-Jersey Jumpsuit,29.0,79.0,63.3,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-halterneck-wide-leg-stretch-jersey-jumpsuit_R04468700/#colour=BLACK,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04468700_BLACK_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04468721,RO&ZO Tile-Print High-Waist Woven Maxi Skirt,29.0,79.0,63.3,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-tile-print-high-waist-woven-maxi-skirt_R04468721/#colour=BROWN,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04468721_BROWN_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04483041,RO&ZO Flutter-Sleeved Broderie-Pattern Cotton Blouse,29.0,79.0,63.3,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-flutter-sleeved-broderie-pattern-cotton-blouse_R04483041/#colour=GREEN,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04483041_GREEN_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04435330,SWEATY BETTY Infinity High-Neck Wool-Blend Top,29.5,80.0,63.1,In Stock,See product page,https://www.selfridges.com/GB/en/product/sweaty-betty-infinity-high-neck-wool-blend-top_R04435330/#colour=INDIGO BLUE,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04435330_INDIGOBLUE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04359890,WHISTLES Harlowe shirred-waist long-sleeve denim midi dress,59.0,159.0,62.9,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-harlowe-shirred-waist-long-sleeve-denim-midi-dress_R04359890/#colour=CREAM,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04359890_CREAM_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04367274,WHISTLES Brushwork-print slim-fit stretch-mesh midi dress,59.0,159.0,62.9,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-brushwork-print-slim-fit-stretch-mesh-midi-dress_R04367274/#colour=MULTI-COLOURED,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04367274_MULTICOLOURED_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04435075,RO&ZO Floral-Print Frill-Front Woven Midi Dress,59.0,159.0,62.9,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-floral-print-frill-front-woven-midi-dress_R04435075/#colour=Blue,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04435075_BLUE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04376528,WHISTLES Mabel belted-waist top-stitch woven midi dress,59.0,159.0,62.9,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-mabel-belted-waist-top-stitch-woven-midi-dress_R04376528/,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04376528_KHAKIOLIVE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04435287,SWEATY BETTY Explorer Double-Waistband Stretch-Woven Cargo Trousers,44.0,118.0,62.7,In Stock,See product page,https://www.selfridges.com/GB/en/product/sweaty-betty-explorer-double-waistband-stretch-woven-cargo-trousers_R04435287/,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04435287_TREKGREEN_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04449705,AMY LYNN Eleanor Stripe-Print Puffball Cotton-Blend Mini Dress,33.4,89.0,62.5,In Stock,See product page,https://www.selfridges.com/GB/en/product/amy-lynn-eleanor-stripe-print-puffball-cotton-blend-mini-dress_R04449705/#colour=PINK,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04449705_PINK_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04449709,AMY LYNN Eleanor Shirred Puffball Chambray Mini Dress,33.4,89.0,62.5,In Stock,See product page,https://www.selfridges.com/GB/en/product/amy-lynn-eleanor-shirred-puffball-chambray-mini-dress_R04449709/#colour=Blue,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04449709_BLUE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04482463,AMY LYNN Nola Long-Sleeve Stretch-Lace Maxi Dress,24.4,65.0,62.5,In Stock,See product page,https://www.selfridges.com/GB/en/product/amy-lynn-nola-long-sleeve-stretch-lace-maxi-dress_R04482463/#colour=YELLOW,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04482463_YELLOW_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04472361,AMY LYNN Puffball Shoulder-Straps Woven Midi Dress,37.25,99.0,62.4,In Stock,See product page,https://www.selfridges.com/GB/en/product/amy-lynn-puffball-shoulder-straps-woven-midi-dress_R04472361/#colour=Blue,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04472361_BLUE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04492017,AMY LYNN Viola Rose-Appliqué Woven Maxi Dress,37.25,99.0,62.4,In Stock,See product page,https://www.selfridges.com/GB/en/product/amy-lynn-viola-rose-applique-woven-maxi-dress_R04492017/#colour=CREAM,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04492017_CREAM_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04449719,AMY LYNN Kiran Gingham-Print Puffball Cotton-Blend Mini Dress,33.5,89.0,62.4,In Stock,See product page,https://www.selfridges.com/GB/en/product/amy-lynn-kiran-gingham-print-puffball-cotton-blend-mini-dress_R04449719/#colour=BLACK,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04449719_BLACK_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04304144,WHISTLES Patch-pocket wide-leg mis-rise denim jeans,45.0,119.0,62.2,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-patch-pocket-wide-leg-mis-rise-denim-jeans_R04304144/#colour=WHITE,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04304144_WHITE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04320443,WHISTLES Animal Swirl cocoon woven mini dress,45.0,119.0,62.2,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-animal-swirl-cocoon-woven-mini-dress_R04320443/#colour=MULTI-COLOURED,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04320443_MULTICOLOURED_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04342559,WHISTLES Checkerboard Tiger-print woven mini dress,45.0,119.0,62.2,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-checkerboard-tiger-print-woven-mini-dress_R04342559/#colour=GREEN/MULTI,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04342559_GREENMULTI_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04398596,WHISTLES Blurred Blooms long-sleeve stretch-mesh top,30.0,79.0,62.0,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-blurred-blooms-long-sleeve-stretch-mesh-top_R04398596/#colour=MULTI-COLOURED,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04398596_MULTICOLOURED_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04401103,WHISTLES Cable-knit round-neck wool-blend jumper,49.0,129.0,62.0,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-cable-knit-round-neck-wool-blend-jumper_R04401103/,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04401103_CREAM_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04415545,WHISTLES Feathered Wing-pattern lyocell and cotton-blend mini dress,49.0,129.0,62.0,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-feathered-wing-pattern-lyocell-and-cotton-blend-mini-dress_R04415545/#colour=MULTI-COLOURED,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04415545_MULTICOLOURED_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04483059,RO&ZO Ditsy-Print V-Neck Tiered Cotton Maxi Dress,49.0,129.0,62.0,In Stock,See product page,https://www.selfridges.com/GB/en/product/rozo-ditsy-print-v-neck-tiered-cotton-maxi-dress_R04483059/#colour=GREEN,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04483059_GREEN_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04477617,REISS Frankie Ruched-Bodice Woven Midi Dress,98.0,258.0,62.0,In Stock,See product page,https://www.selfridges.com/GB/en/product/reiss-frankie-ruched-bodice-woven-midi-dress_R04477617/#colour=BLACK,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04477617_BLACK_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04477642,REISS Taffie Sculpted Stretch-Woven Mini Dress,98.0,258.0,62.0,In Stock,See product page,https://www.selfridges.com/GB/en/product/reiss-taffie-sculpted-stretch-woven-mini-dress_R04477642/#colour=BLACK,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04477642_BLACK_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04077203,WHISTLES Ruched Long-Sleeve Cotton and Modal-Blend Top,25.0,65.0,61.5,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-ruched-long-sleeve-cotton-and-modal-blend-top_R04077203/#colour=BLACK,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04077203_BLACK_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04208221,WHISTLES Snake-print V-neck sleeveless woven top,25.0,65.0,61.5,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-snake-print-v-neck-sleeveless-woven-top_R04208221/#colour=MULTI-COLOURED,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04208221_MULTICOLOURED_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04241531,WHISTLES Ruched V-neck cotton and modal-blend top,25.0,65.0,61.5,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-ruched-v-neck-cotton-and-modal-blend-top_R04241531/#colour=BLACK,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04241531_BLACK_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04271392,WHISTLES Scribble bouquet-pattern self-tie woven midi dress,65.0,169.0,61.5,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-scribble-bouquet-pattern-self-tie-woven-midi-dress_R04271392/#colour=BLACK,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04271392_BLACK_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04279901,WHISTLES Mottled leopard-print woven midi dress,65.0,169.0,61.5,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-mottled-leopard-print-woven-midi-dress_R04279901/#colour=MULTI-COLOURED,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04279901_MULTICOLOURED_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04311630,WHISTLES Iris asymmetric-hem stretch-jersey midi dress,65.0,169.0,61.5,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-iris-asymmetric-hem-stretch-jersey-midi-dress_R04311630/#colour=TURQUOISE,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04311630_TURQUOISE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04329054,WHISTLES Veda animal-print short-sleeve linen-blend midi dress,65.0,169.0,61.5,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-veda-animal-print-short-sleeve-linen-blend-midi-dress_R04329054/#colour=MULTICOLOUR,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04329054_MULTICOLOUR_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04339597,WHISTLES Aimee hibiscus-print short-sleeve woven jumpsuit,65.0,169.0,61.5,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-aimee-hibiscus-print-short-sleeve-woven-jumpsuit_R04339597/#colour=CORAL,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04339597_CORAL_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04373966,WHISTLES Mabel topstitch V-neck woven jumpsuit,65.0,169.0,61.5,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-mabel-topstitch-v-neck-woven-jumpsuit_R04373966/#colour=BLUE,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04373966_BLUE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04379929,WHISTLES Marlow snakeskin-print woven midi dress,65.0,169.0,61.5,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-marlow-snakeskin-print-woven-midi-dress_R04379929/#colour=MULTI-COLOURED,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04379929_MULTICOLOURED_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04385891,WHISTLES Esther Quilted Oversized Woven Coat,65.0,169.0,61.5,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-esther-quilted-oversized-woven-coat_R04385891/#colour=KHAKI/OLIVE,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04385891_KHAKIOLIVE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04334497,WHISTLES Linked Smudge graphic-print woven jumpsuit,52.0,135.0,61.5,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-linked-smudge-graphic-print-woven-jumpsuit_R04334497/#colour=MULTI-COLOURED,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04334497_MULTICOLOURED_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04324667,WHISTLES Spacedye V-neck knitted cardigan,42.0,109.0,61.5,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-spacedye-v-neck-knitted-cardigan_R04324667/#colour=MULTICOLOUR,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04324667_MULTICOLOUR_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04376999,WHISTLES Pinstriped high-waist stretch-woven midi skirt,42.0,109.0,61.5,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-pinstriped-high-waist-stretch-woven-midi-skirt_R04376999/#colour=BLUE,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04376999_BLUE_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
R04399616,WHISTLES Round-neck long-sleeve sequin mini dress,69.0,179.0,61.5,In Stock,See product page,https://www.selfridges.com/GB/en/product/whistles-round-neck-long-sleeve-sequin-mini-dress_R04399616/#colour=BARELY BLACK,New,2025-09-28 16:23:21,https://images.selfridges.com/is/image/selfridges/R04399616_BARELYBLACK_M?wid=476&hei=634&fmt=webp&qlt=80,Women's Clothing Test,None
